Y,X,H
39480229.097744,3849597,381.26736928917
39480262.97995,3849597,381.67895167182
39480296.862155,3849597,382.08864308212
39480330.744361,3849597,382.49657296485
39480364.626566,3849597,382.90287747779
39480398.508772,3849597,383.3076988886
39480432.390977,3849597,383.711185011
39480466.273183,3849597,384.11348868043
39480500.155388,3849597,384.51476727124
39480534.037594,3849597,384.91518225375
39480567.919799,3849597,385.31489879175
39480601.802005,3849597,385.71408537779
39480635.684211,3849597,386.11291350652
39480669.566416,3849597,386.51155738298
39480703.448622,3849597,386.91019366285
39480737.330827,3849597,387.30900122288
39480771.213033,3849597,387.70816095764
39480805.095238,3849597,388.10785559782
39480838.977444,3849597,388.50826954756
39480872.859649,3849597,388.90958873564
39480906.741855,3849597,389.31200047505
39480940.62406,3849597,389.71569332792
39480974.506266,3849597,390.12085696949
39481008.388471,3849597,390.5276820475
39481042.270677,3849597,390.93636003095
39481076.152882,3849597,391.34708304556
39481110.035088,3849597,391.76004369109
39481143.917293,3849597,392.17543483632
39481177.799499,3849597,392.59344939016
39481211.681704,3849597,393.0142800458
39481245.56391,3849597,393.43811899546
39481279.446115,3849597,393.86515761631
39481313.328321,3849597,394.29558612681
39481347.210526,3849597,394.72959321309
39481381.092732,3849597,395.16736562853
39481414.974937,3849597,395.6090877679
39481448.857143,3849597,396.05494121808
39481482.739348,3849597,396.50510429067
39481516.621554,3849597,396.95975153904
39481550.503759,3849597,397.4190532656
39481584.385965,3849597,397.88317502255
39481618.26817,3849597,398.35227711328
39481652.150376,3849597,398.8265140988
39481686.032581,3849597,399.30603431363
39481719.914787,3849597,399.79097939835
39481753.796992,3849597,400.28148385288
39481787.679198,3849597,400.77767461447
39481821.561404,3849597,401.27967066672
39481855.443609,3849597,401.78758268258
39481889.325815,3849597,402.30151270405
39481923.20802,3849597,402.82155386342
39481957.090226,3849597,403.34779014674
39481990.972431,3849597,403.88029620261
39482024.854637,3849597,404.41913719563
39482058.736842,3849597,404.96436870716
39482092.619048,3849597,405.51603668248
39482126.501253,3849597,406.07417742249
39482160.383459,3849597,406.63881762113
39482194.265664,3849597,407.20997444589
39482228.14787,3849597,407.78765565819
39482262.030075,3849597,408.37185977365
39482295.912281,3849597,408.96257625836
39482329.794486,3849597,409.55978575727
39482363.676692,3849597,410.16346035374
39482397.558897,3849597,410.77356385601
39482431.441103,3849597,411.39005210612
39482465.323308,3849597,412.01287331038
39482499.205514,3849597,412.64196838611
39482533.087719,3849597,413.2772713229
39482566.969925,3849597,413.91870955312
39482600.85213,3849597,414.56620433137
39482634.734336,3849597,415.2196711186
39482668.616541,3849597,415.87901996708
39482702.498747,3849597,416.54415590624
39482736.380952,3849597,417.21497932574
39482770.263158,3849597,417.89138635255
39482804.145363,3849597,418.57326922252
39482838.027569,3849597,419.26051664376
39482871.909774,3849597,419.95301414881
39482905.79198,3849597,420.65064443711
39482939.674185,3849597,421.35328770548
39482973.556391,3849597,422.06082196415
39483007.438596,3849597,422.77312334073
39483041.320802,3849597,423.4900663691
39483075.203008,3849597,424.21152426462
39483109.085213,3849597,424.93736918307
39483142.967419,3849597,425.66747246603
39483176.849624,3849597,426.40170487143
39483210.73183,3849597,427.13993678788
39483244.614035,3849597,427.88203843582
39483278.496241,3849597,428.62788005443
39483312.378446,3849597,429.37733207306
39483346.260652,3849597,430.13026527056
39483380.142857,3849597,430.88655092151
39483414.025063,3849597,431.64606092832
39483447.907268,3849597,432.40866794286
39483481.789474,3849597,433.17424547543
39483515.671679,3849597,433.94266799379
39483549.553885,3849597,434.71381100994
39483583.43609,3849597,435.4875511585
39483617.318296,3849597,436.26376626574
39483651.200501,3849597,437.04233540831
39483685.082707,3849597,437.82313896513
39483718.964912,3849597,438.60605866168
39483752.847118,3849597,439.39097760547
39483786.729323,3849597,440.17778031642
39483820.611529,3849597,440.96635275101
39483854.493734,3849597,441.7565823192
39483888.37594,3849597,442.54835789758
39483922.258145,3849597,443.34156983777
39483956.140351,3849597,444.13610996875
39483990.022556,3849597,444.93187159703
39484023.904762,3849597,445.72874950204
39484057.786967,3849597,446.5266399293
39484091.669173,3849597,447.32544057893
39484125.551378,3849597,448.12505059303
39484159.433584,3849597,448.92537054081
39484193.315789,3849597,449.72630239998
39484227.197995,3849597,450.527749538
39484261.080201,3849597,451.32961669171
39484294.962406,3849597,452.13180994409
39484328.844612,3849597,452.93423670149
39484362.726817,3849597,453.73680566983
39484396.609023,3849597,454.53942682865
39484430.491228,3849597,455.34201140618
39484464.373434,3849597,456.14447185306
39484498.255639,3849597,456.94672181675
39484532.137845,3849597,457.74867611408
39484566.02005,3849597,458.55025070542
39484599.902256,3849597,459.3513626688
39484633.784461,3849597,460.15193017283
39484667.666667,3849597,460.95187245131
39484701.548872,3849597,461.75110977837
39484735.431078,3849597,462.54956344241
39484769.313283,3849597,463.34715572212
39484803.195489,3849597,464.14380986319
39484837.077694,3849597,464.93945005398
39484870.9599,3849597,465.7340014036
39484904.842105,3849597,466.52738992059
39484938.724311,3849597,467.319542491
39484972.606516,3849597,468.11038685885
39485006.488722,3849597,468.89985160663
39485040.370927,3849597,469.68786613754
39485074.253133,3849597,470.47436065706
39485108.135338,3849597,471.25926615696
39485142.017544,3849597,472.04251440032
39485175.899749,3849597,472.82403790591
39485209.781955,3849597,473.60376993521
39485243.66416,3849597,474.38164448036
39485277.546366,3849597,475.15759625164
39485311.428571,3849597,475.93156066747
39485345.310777,3849597,476.70347384548
39485379.192982,3849597,477.47327259305
