Y,X,H
39480906.741855,3849597,39.00610518053
39480940.62406,3849597,38.99683712063
39480974.506266,3849597,38.98749199341
39481008.388471,3849597,38.978084128229
39481042.270677,3849597,38.968626151054
39481076.152882,3849597,38.959128966712
39481110.035088,3849597,38.949601767008
39481143.917293,3849597,38.940052062848
39481177.799499,3849597,38.93048573808
39481211.681704,3849597,38.920907122537
39481245.56391,3849597,38.911319081608
39481279.446115,3849597,38.901723119517
39481313.328321,3849597,38.892119493518
39481347.210526,3849597,38.882507336307
39481381.092732,3849597,38.872884783971
39481414.974937,3849597,38.863249107041
39481448.857143,3849597,38.853596842395
39481482.739348,3849597,38.843923923891
39481516.621554,3849597,38.83422580996
39481550.503759,3849597,38.824497606488
39481584.385965,3849597,38.814734183685
39481618.26817,3849597,38.804930285703
